Joueur,Nation,Pos,Equipe,Comp,age,90,Buts,TC%,B/Tir,npxG,Cmp%,PD,PC
Sandro Tonali,it ITA,MT,Milan,it Serie A,22-169,8.3,0.12,41.7,0.08,0.12,74.0,0.12,1.69
Ivan Toney,eng ENG,AT,Brentford,eng Premier League,26-222,12.0,0.67,34.5,0.17,0.29,63.4,0.17,1.17
Pablo Torre,es ESP,MT,Barcelona,es La Liga,19-204,0.2,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Ferrán Torres,es ESP,ATMT,Barcelona,es La Liga,22-237,4.4,0.45,35.3,0.12,0.59,80.5,0.0,0.23
Óliver Torres,es ESP,MTAT,Sevilla,es La Liga,27-348,7.6,0.39,50.0,0.5,0.11,80.1,0.0,1.71
Pau Torres,es ESP,DF,Villarreal,es La Liga,25-281,11.0,0.0,0.0,0.0,0.04,87.2,0.0,0.73
Roberto Torres,es ESP,AT,Osasuna,es La Liga,33-231,0.1,0.0,0.0,0.0,0.0,100.0,0.0,10.0
Lucas Torró,es ESP,MT,Osasuna,es La Liga,28-097,9.8,0.0,10.0,0.0,0.04,82.2,0.0,0.31
Nabil Touaizi,ma MAR,AT,Espanyol,es La Liga,21-265,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Almamy Touré,ml MLI,DF,Eint Frankfurt,de Bundesliga,26-179,1.8,0.0,0.0,0.0,0.0,83.2,0.0,0.0
Birama Touré,ml MLI,MT,Auxerre,fr Ligue 1,30-140,11.8,0.0,20.0,0.0,0.03,87.1,0.0,0.0
Souleymane Touré,fr FRA,DF,Marseille,fr Ligue 1,19-210,0.5,0.0,0.0,0.0,0.0,91.7,0.0,0.0
Lucas Tousart,fr FRA,MT,Hertha BSC,de Bundesliga,25-178,9.9,0.2,28.6,0.14,0.07,65.9,0.0,0.2
Yoann Touzghar,tn TUN,AT,Ajaccio,fr Ligue 1,35-330,2.6,0.0,0.0,0.0,0.04,71.2,0.0,0.0
Adama Traoré,es ESP,ATMT,Wolves,eng Premier League,26-272,4.7,0.21,16.7,0.17,0.11,65.0,0.0,1.7
Boubacar Traoré,ml MLI,MT,Wolves,eng Premier League,21-065,1.3,0.0,0.0,0.0,0.0,77.8,0.0,0.0
Hamari Traoré,ml MLI,DF,Rennes,fr Ligue 1,30-270,10.1,0.0,25.0,0.0,0.03,88.5,0.1,0.69
Kevin Trapp,de GER,GB,Eint Frankfurt,de Bundesliga,32-108,11.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0
Mark Travers,ie IRL,GB,Bournemouth,eng Premier League,23-159,4.0,0.0,0.0,0.0,0.0,75.8,0.0,0.0
Óscar Trejo,ar ARG,MTAT,Rayo Vallecano,es La Liga,34-181,8.3,0.12,40.0,0.2,0.06,78.3,0.24,2.17
Manu Trigueros,es ESP,MT,Villarreal,es La Liga,31-007,0.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Christopher Trimmel,at AUT,DF,Union Berlin,de Bundesliga,35-242,7.9,0.0,16.7,0.0,0.03,61.4,0.25,1.27
Kieran Trippier,eng ENG,DF,Newcastle Utd,eng Premier League,32-035,11.8,0.08,33.3,0.17,0.03,73.3,0.08,2.37
Leandro Trossard,be BEL,DFAT,Brighton,eng Premier League,27-324,10.2,0.59,39.3,0.21,0.3,72.6,0.1,1.47
Adrien Truffert,fr FRA,DF,Rennes,fr Ligue 1,20-338,10.3,0.0,16.7,0.0,0.02,81.5,0.39,0.78
Frank Tsadjout,it ITA,AT,Cremonese,it Serie A,23-088,0.3,0.0,0.0,0.0,0.0,42.9,0.0,0.0
Kostas Tsimikas,gr GRE,DF,Liverpool,eng Premier League,26-165,4.0,0.0,0.0,0.0,0.03,76.6,0.75,1.75
Alessandro Tuia,it ITA,DF,Lecce,it Serie A,32-138,2.0,0.0,50.0,0.0,0.05,77.1,0.0,0.0
Beñat Turrientes,es ESP,MT,Real Sociedad,es La Liga,20-266,1.2,0.0,0.0,0.0,0.0,87.0,0.0,0.83
Tuta,br BRA,DF,Eint Frankfurt,de Bundesliga,23-112,10.9,0.09,40.0,0.2,0.08,82.2,0.0,0.18
Iyenoma Udogie,it ITA,DF,Udinese,it Serie A,19-330,9.7,0.21,50.0,0.33,0.12,85.9,0.1,0.93
Ike Ugbo,ca CAN,AT,Troyes,fr Ligue 1,24-033,3.5,0.29,25.0,0.25,0.11,73.8,0.29,0.86
Chimuanya Ugochukwu,fr FRA,MT,Rennes,fr Ligue 1,18-212,3.1,0.0,0.0,0.0,0.0,86.9,0.0,0.0
Sven Ulreich,de GER,GB,Bayern Munich,de Bundesliga,34-082,2.0,0.0,0.0,0.0,0.0,83.5,0.0,0.0
Samuel Umtiti,fr FRA,DF,Lecce,it Serie A,28-344,2.0,0.0,0.0,0.0,0.0,93.3,0.0,0.0
Enes Ünal,tr TUR,AT,Getafe,es La Liga,25-167,9.5,0.21,33.3,0.1,0.22,64.3,0.21,0.74
Deniz Undav,de GER,ATMT,Brighton,eng Premier League,26-097,0.7,0.0,0.0,0.0,0.71,85.7,0.0,2.86
Cengiz Ünder,tr TUR,MTAT,Marseille,fr Ligue 1,25-102,4.5,0.0,33.3,0.0,0.27,71.0,0.22,2.67
Dayot Upamecano,fr FRA,DF,Bayern Munich,de Bundesliga,23-362,10.9,0.0,50.0,0.0,0.02,91.1,0.0,0.46
Filip Uremović,hr CRO,DF,Hertha BSC,de Bundesliga,25-255,6.2,0.0,0.0,0.0,0.02,84.6,0.0,0.16
Oscar Ureña,es ESP,MTAT,Girona,es La Liga,19-296,1.1,0.0,100.0,0.0,0.18,70.8,0.0,0.0
Jere Uronen,fi FIN,DF,Brest,fr Ligue 1,28-103,2.5,0.0,0.0,0.0,0.0,81.6,0.4,0.4
Mark Uth,de GER,MT,Köln,de Bundesliga,31-061,0.4,0.0,100.0,0.0,0.25,75.0,0.0,0.0
Josha Vagnoman,de GER,DF,Stuttgart,de Bundesliga,21-317,4.4,0.0,0.0,0.0,0.18,73.6,0.0,1.14
Diego Valencia,cl CHI,ATMT,Salernitana,it Serie A,22-283,1.1,0.0,100.0,0.0,0.09,86.7,0.0,1.82
Óscar Valentín,es ESP,MT,Rayo Vallecano,es La Liga,28-065,7.6,0.0,0.0,0.0,0.03,88.0,0.0,0.79
Emanuele Valeri,it ITA,DFAT,Cremonese,it Serie A,23-321,7.5,0.13,20.0,0.1,0.08,55.2,0.0,1.07
Valery,es ESP,DFMT,Girona,es La Liga,22-335,1.9,0.0,0.0,0.0,0.0,88.1,0.53,2.11
Yan Valery,tn TUN,DF,Angers,fr Ligue 1,23-244,5.9,0.0,33.3,0.0,0.03,69.4,0.0,0.34
Yan Valery,tn TUN,DF,Southampton,eng Premier League,23-244,0.5,0.0,0.0,0.0,0.0,70.8,0.0,0.0
Enrique Valiente,es ESP,DF,Sevilla,es La Liga,20-184,2.6,0.0,0.0,0.0,0.04,86.7,0.38,0.0
Martin Valjent,sk SVK,DF,Mallorca,es La Liga,26-317,9.8,0.0,0.0,0.0,0.0,81.3,0.0,0.1
Manu Vallejo,es ESP,ATMT,Girona,es La Liga,25-252,2.3,0.0,100.0,0.0,0.0,74.5,0.43,1.3
Mattia Valoti,it ITA,MT,Monza,it Serie A,29-048,2.3,0.0,0.0,0.0,0.0,81.3,0.0,0.87
Federico Valverde,uy URU,ATMT,Real Madrid,es La Liga,24-094,9.4,0.64,52.2,0.26,0.14,89.5,0.11,2.34
Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,31-108,11.0,0.09,33.3,0.08,0.08,89.5,0.0,0.09
Vanderson,br BRA,DF,Monaco,fr Ligue 1,21-125,8.1,0.0,33.3,0.0,0.04,79.6,0.0,0.49
Raphaël Varane,fr FRA,DF,Manchester Utd,eng Premier League,29-182,7.6,0.0,0.0,0.0,0.0,86.9,0.0,0.39
Jamie Vardy,eng ENG,AT,Leicester City,eng Premier League,35-286,7.1,0.14,27.3,0.09,0.3,67.0,0.56,0.7
Ruben Vargas,ch SUI,MTAT,Augsburg,de Bundesliga,24-080,3.6,0.28,20.0,0.2,0.08,58.3,0.0,0.56
Johan Vásquez,mx MEX,DF,Cremonese,it Serie A,24-002,2.9,0.0,0.0,0.0,0.0,71.9,0.0,0.34
Jesus Vazquez,es ESP,DF,Valencia,es La Liga,19-295,1.5,0.0,0.0,0.0,0.07,82.6,0.0,0.0
Lucas Vázquez,es ESP,DF,Real Madrid,es La Liga,31-115,3.1,0.65,50.0,0.33,0.45,89.7,0.0,0.97
Matías Vecino,uy URU,MT,Lazio,it Serie A,31-061,6.0,0.17,25.0,0.13,0.13,86.8,0.0,0.17
Gabriel Veiga,es ESP,MT,Celta Vigo,es La Liga,20-150,4.3,0.47,44.4,0.22,0.09,78.8,0.23,1.16
Miloš Veljković,rs SRB,DF,Werder Bremen,de Bundesliga,27-028,9.0,0.11,33.3,0.33,0.06,84.6,0.0,0.0
Miguel Veloso,pt POR,MT,Hellas Verona,it Serie A,36-166,5.7,0.0,16.7,0.0,0.07,69.8,0.0,0.7
Joël Veltman,nl NED,DF,Brighton,eng Premier League,30-282,10.2,0.0,33.3,0.0,0.05,80.7,0.0,0.2
Mickey van de Ven,nl NED,DF,Wolfsburg,de Bundesliga,21-188,11.0,0.0,0.0,0.0,0.04,89.2,0.0,0.18
Unai Vencedor Paris,es ESP,MT,Athletic Club,es La Liga,21-343,0.7,0.0,0.0,0.0,0.43,93.3,0.0,2.86
Lorenzo Venuti,it ITA,DF,Fiorentina,it Serie A,27-195,3.1,0.0,100.0,0.0,0.13,83.3,0.32,0.97
Daniele Verde,it ITA,AT,Spezia,it Serie A,26-126,1.6,0.0,66.7,0.0,0.06,59.3,0.0,2.5
Simone Verdi,it ITA,MTAT,Hellas Verona,it Serie A,30-104,2.9,0.0,20.0,0.0,0.07,61.4,0.0,2.41
Gonzalo Verdú,es ESP,DF,Elche,es La Liga,34-003,3.4,0.29,50.0,0.25,0.09,84.9,0.0,0.0
Jordan Veretout,fr FRA,MT,Marseille,fr Ligue 1,29-237,8.5,0.0,16.7,0.0,0.04,84.1,0.12,1.06
Marco Verratti,it ITA,MT,Paris S-G,fr Ligue 1,29-353,8.8,0.0,100.0,0.0,0.02,93.9,0.0,0.34
Valerio Verre,it ITA,MT,Sampdoria,it Serie A,28-286,3.2,0.0,16.7,0.0,0.09,77.9,0.0,1.56
Mikel Vesga,es ESP,MT,Athletic Club,es La Liga,29-156,7.7,0.26,11.1,0.11,0.05,78.3,0.13,0.91
Guglielmo Vicario,it ITA,GB,Empoli,it Serie A,26-017,11.0,0.0,0.0,0.0,0.0,71.2,0.0,0.0
Aleix Vidal,es ESP,ATMT,Espanyol,es La Liga,33-064,3.3,0.0,0.0,0.0,0.0,77.0,0.0,0.91
Clément Vidal,fr FRA,DF,Ajaccio,fr Ligue 1,22-128,4.5,0.0,0.0,0.0,0.13,85.5,0.0,0.22
Nacho Vidal,es ESP,DF,Osasuna,es La Liga,27-273,8.6,0.0,14.3,0.0,0.08,78.7,0.0,0.23
Gabriel Vidovic,hr CRO,MTAT,Bayern Munich,de Bundesliga,18-327,0.2,0.0,0.0,0.0,0.0,80.0,5.0,10.0
Fabio Vieira,pt POR,MT,Arsenal,eng Premier League,22-147,1.6,0.63,50.0,0.25,0.13,78.8,0.0,1.88
Ronaldo Vieira,gw GNB,MT,Sampdoria,it Serie A,24-097,5.1,0.0,0.0,0.0,0.0,91.8,0.0,0.0
Emanuel Vignato,it ITA,MTAT,Bologna,it Serie A,22-061,2.0,0.0,0.0,0.0,0.0,80.2,0.0,1.0
Tonny Vilhena,nl NED,MT,Salernitana,it Serie A,27-294,10.1,0.1,20.0,0.07,0.1,76.9,0.1,0.89
Toni Villa,es ESP,MTAT,Girona,es La Liga,27-290,1.6,0.0,16.7,0.0,0.13,78.9,0.0,0.63
Toni Villa,es ESP,MT,Valladolid,es La Liga,27-290,1.0,0.0,0.0,0.0,0.0,58.8,0.0,1.0
Asier Villalibre,es ESP,AT,Athletic Club,es La Liga,25-024,0.9,0.0,50.0,0.0,0.22,54.5,0.0,1.11
Gonzalo Villar,es ESP,MT,Sampdoria,it Serie A,24-215,4.9,0.0,0.0,0.0,0.0,83.8,0.0,0.0
Matías Viña,uy URU,DF,Roma,it Serie A,24-349,0.6,0.0,0.0,0.0,0.0,67.7,0.0,1.67
Rúben Vinagre,pt POR,DF,Everton,eng Premier League,23-198,0.3,0.0,0.0,0.0,0.0,62.5,0.0,0.0
Carlos Vinícius,br BRA,AT,Fulham,eng Premier League,27-213,1.8,0.0,0.0,0.0,0.06,75.0,0.0,0.56
