Joueur,Nation,Pos,Equipe,Comp,age,90,Buts,TC%,B/Tir,npxG,Cmp%,PD,PC
Charles De Ketelaere,be BEL,MT,Milan,it Serie A,21-228,5.5,0.0,14.3,0.0,0.09,74.2,0.18,3.09
Manuel De Luca,it ITA,AT,Sampdoria,it Serie A,24-099,0.4,0.0,0.0,0.0,0.0,77.8,0.0,0.0
Rodrigo De Paul,ar ARG,MT,Atlético Madrid,es La Liga,28-153,5.2,0.19,66.7,0.33,0.02,81.4,0.19,1.73
Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,30-004,5.1,0.0,0.0,0.0,0.02,83.8,0.0,0.59
Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,34-154,5.8,0.0,50.0,0.0,0.07,72.5,0.0,0.86
Koni De Winter,be BEL,DF,Empoli,it Serie A,20-134,5.3,0.0,0.0,0.0,0.0,89.5,0.0,0.0
Grégoire Defrel,mq MTQ,AT,Sassuolo,it Serie A,31-129,1.4,0.0,60.0,0.0,0.93,70.8,0.0,0.71
Duccio Degli Innocenti,it ITA,MT,Empoli,it Serie A,19-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brecht Dejaegere,be BEL,MT,Toulouse,fr Ligue 1,31-148,6.5,0.46,50.0,0.38,0.15,79.7,0.0,0.77
Romain Del Castillo,fr FRA,MTAT,Brest,fr Ligue 1,26-209,3.0,1.0,50.0,0.13,0.2,64.3,0.67,2.67
Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,30-214,5.9,0.0,50.0,0.0,0.02,67.1,0.17,0.68
Thomas Delaney,dk DEN,MT,Sevilla,es La Liga,31-051,3.1,0.0,33.3,0.0,0.03,87.1,0.0,0.65
Sacha Delaye,fr FRA,ATMT,Montpellier,fr Ligue 1,20-184,0.2,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Fran Delgado,es ESP,DF,Betis,es La Liga,21-105,0.1,0.0,0.0,0.0,0.0,88.9,0.0,0.0
Andy Delort,dz ALG,AT,Nice,fr Ligue 1,31-015,8.2,0.61,31.8,0.09,0.3,58.8,0.0,0.98
Karamoko Dembele,sct SCO,ATMT,Brest,fr Ligue 1,19-244,0.8,0.0,50.0,0.0,0.25,63.4,0.0,2.5
Moussa Dembélé,fr FRA,AT,Lyon,fr Ligue 1,26-104,4.9,0.41,37.5,0.13,0.35,72.0,0.0,0.2
Ousmane Dembélé,fr FRA,AT,Barcelona,es La Liga,25-162,7.4,0.41,38.5,0.12,0.27,79.9,0.68,3.65
Siriki Dembélé,ci CIV,MT,Bournemouth,eng Premier League,26-047,0.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Merih Demiral,tr TUR,DF,Atalanta,it Serie A,24-233,9.2,0.11,20.0,0.2,0.09,85.6,0.0,0.22
Kerem Demirbay,de GER,MT,Leverkusen,de Bundesliga,29-113,7.0,0.43,27.3,0.27,0.1,75.0,0.14,1.14
Ermedin Demirović,ba BIH,MTAT,Augsburg,de Bundesliga,24-213,9.0,0.56,52.4,0.24,0.29,46.0,0.11,1.0
Diego Demme,de GER,MT,Napoli,it Serie A,30-337,0.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Sepp van den Berg,nl NED,DF,Schalke 04,de Bundesliga,20-308,3.6,0.0,0.0,0.0,0.17,81.6,0.0,0.0
Branco van den Boomen,nl NED,MT,Toulouse,fr Ligue 1,27-095,11.7,0.09,42.9,0.0,0.09,78.3,0.34,3.25
Leander Dendoncker,be BEL,MT,Aston Villa,eng Premier League,27-192,1.5,0.0,0.0,0.0,0.0,91.1,0.0,0.67
Leander Dendoncker,be BEL,MT,Wolves,eng Premier League,27-192,2.4,0.0,66.7,0.0,0.13,87.4,0.0,0.83
Emmanuel Dennis,ng NGA,AT,Nott'ham Forest,eng Premier League,24-343,2.6,0.38,14.3,0.14,0.15,58.2,0.0,0.77
Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,25-183,3.5,0.29,66.7,0.33,0.29,68.5,0.29,1.43
Fabio Depaoli,it ITA,DFMT,Sampdoria,it Serie A,25-183,1.5,0.0,0.0,0.0,0.07,74.5,0.0,2.67
Memphis Depay,nl NED,AT,Barcelona,es La Liga,28-253,1.3,0.77,50.0,0.17,0.69,82.5,0.0,2.31
Halil Dervişoğlu,tr TUR,MT,Brentford,eng Premier League,22-320,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,27-247,10.2,0.0,40.0,0.0,0.03,86.1,0.1,0.69
Cyriel Dessers,ng NGA,AT,Cremonese,it Serie A,27-320,8.3,0.24,16.0,0.08,0.41,62.9,0.0,1.2
Sergiño Dest,us USA,DF,Milan,it Serie A,21-355,1.2,0.0,0.0,0.0,0.0,89.4,0.0,1.67
Mattia Destro,it ITA,AT,Empoli,it Serie A,31-218,4.0,0.25,46.2,0.08,0.45,54.5,0.0,0.75
Gerard Deulofeu,es ESP,AT,Udinese,it Serie A,28-225,10.4,0.19,25.7,0.06,0.38,76.5,0.58,3.65
Kiernan Dewsbury-Hall,eng ENG,MTAT,Leicester City,eng Premier League,24-048,10.5,0.1,20.0,0.1,0.05,77.4,0.19,1.33
Samuel Di Carmine,it ITA,ATMT,Cremonese,it Serie A,34-025,0.3,0.0,0.0,0.0,0.33,75.0,0.0,0.0
Federico Di Francesco,it ITA,ATMT,Lecce,it Serie A,28-132,5.4,0.0,50.0,0.0,0.02,67.6,0.19,1.11
Michele Di Gregorio,it ITA,GB,Monza,it Serie A,25-089,11.0,0.0,0.0,0.0,0.0,76.7,0.0,0.0
Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29-081,11.0,0.0,27.3,0.0,0.09,88.2,0.18,1.64
Ángel Di María,ar ARG,ATMT,Juventus,it Serie A,34-252,2.1,0.48,33.3,0.33,0.1,75.0,0.48,0.48
Boulaye Dia,sn SEN,AT,Salernitana,it Serie A,25-342,7.9,0.51,61.5,0.31,0.29,76.1,0.25,1.39
Moussa Diaby,fr FRA,AT,Leverkusen,de Bundesliga,23-109,10.2,0.2,61.1,0.11,0.18,73.5,0.29,2.55
Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,25-309,8.8,0.23,50.0,0.5,0.13,87.8,0.0,0.23
Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,21-291,9.4,0.0,12.5,0.0,0.09,85.4,0.0,0.11
Ibrahim Diakité,gn GUI,DFMT,Reims,fr Ligue 1,18-358,0.6,0.0,0.0,0.0,0.0,76.9,0.0,0.0
Abdou Diallo,sn SEN,DF,RB Leipzig,de Bundesliga,26-173,2.8,0.36,25.0,0.25,0.21,86.0,0.0,0.0
Habib Diallo,sn SEN,AT,Strasbourg,fr Ligue 1,27-128,10.8,0.46,47.4,0.21,0.28,72.6,0.0,0.65
Ibrahima Diallo,fr FRA,MT,Southampton,eng Premier League,23-230,4.5,0.0,0.0,0.0,0.02,79.5,0.0,0.22
Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,25-268,8.3,0.0,0.0,0.0,0.0,73.9,0.0,0.48
Mamady Diarra,ml MLI,MT,Cádiz,es La Liga,22-120,0.7,0.0,0.0,0.0,0.43,90.0,0.0,0.0
Mouhamadou Diarra,sn SEN,MT,Strasbourg,fr Ligue 1,18-294,4.9,0.0,16.7,0.0,0.04,76.2,0.0,0.0
Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,21-348,4.5,0.0,0.0,0.0,0.0,84.6,0.0,0.0
Stéphane Diarra,fr FRA,ATMT,Lorient,fr Ligue 1,23-319,6.0,0.17,40.0,0.1,0.1,70.3,0.0,0.33
Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25-163,9.5,0.0,16.7,0.0,0.06,92.8,0.0,0.21
Krepin Diatta,sn SEN,MTAT,Monaco,fr Ligue 1,23-241,8.4,0.12,29.4,0.06,0.23,78.5,0.0,0.95
Mory Diaw,sn SEN,GB,Clermont Foot,fr Ligue 1,29-124,12.0,0.0,0.0,0.0,0.0,68.4,0.0,0.17
Brahim Díaz,es ESP,MTAT,Milan,it Serie A,23-082,4.6,0.87,55.6,0.44,0.35,76.3,0.22,2.17
Luis Díaz,co COL,AT,Liverpool,eng Premier League,25-284,6.8,0.44,47.1,0.18,0.31,81.6,0.29,0.88
Bamba Dieng,sn SEN,AT,Marseille,fr Ligue 1,22-215,0.5,0.0,20.0,0.0,1.4,64.3,0.0,0.0
Eric Dier,eng ENG,DF,Tottenham,eng Premier League,28-282,11.9,0.17,37.5,0.25,0.05,87.4,0.0,0.25
Florian Dietz,de GER,AT,Köln,de Bundesliga,24-082,4.3,0.23,31.3,0.06,0.49,60.3,0.0,0.93
Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29-096,7.0,0.0,0.0,0.0,0.03,76.5,0.0,0.86
Federico Dimarco,it ITA,DF,Inter,it Serie A,24-348,8.2,0.12,25.0,0.06,0.11,73.2,0.0,2.8
Stole Dimitrievski,mk MKD,GB,Rayo Vallecano,es La Liga,28-303,10.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0
Junior Dina Ebimbe,fr FRA,MTDF,Eint Frankfurt,de Bundesliga,21-337,4.0,0.25,40.0,0.2,0.1,78.1,0.0,0.75
Tristan Dingomé,cm CMR,ATMT,Troyes,fr Ligue 1,31-249,0.8,0.0,33.3,0.0,0.13,74.7,0.0,5.0
Eren Dinkçi,de GER,MT,Werder Bremen,de Bundesliga,20-315,0.2,0.0,0.0,0.0,0.5,50.0,0.0,5.0
Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21-198,2.8,0.0,0.0,0.0,0.0,89.0,0.0,0.0
Lois Diony,fr FRA,AT,Angers,fr Ligue 1,29-308,4.9,0.41,40.0,0.2,0.37,78.6,0.0,1.02
Issa Diop,fr FRA,DF,Fulham,eng Premier League,25-288,3.6,0.28,100.0,1.0,0.03,90.2,0.0,0.0
Sofiane Diop,fr FRA,MT,Monaco,fr Ligue 1,22-137,0.7,1.43,33.3,0.33,1.14,55.9,0.0,4.29
Sofiane Diop,fr FRA,ATMT,Nice,fr Ligue 1,22-137,3.9,0.0,44.4,0.0,0.1,84.1,0.51,1.03
Yehvann Diouf,fr FRA,GB,Reims,fr Ligue 1,22-342,5.0,0.0,0.0,0.0,0.0,65.5,0.0,0.0
Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,24-227,12.0,0.08,16.7,0.17,0.03,83.7,0.25,0.42
Malcom Abdulai Ares Djalo,es ESP,AT,Athletic Club,es La Liga,21-012,0.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-198,9.3,0.11,28.6,0.14,0.06,92.6,0.0,0.11
Djené,tg TOG,DF,Getafe,es La Liga,30-297,7.3,0.0,0.0,0.0,0.01,83.7,0.0,0.0
Moussa Djenepo,ml MLI,DFAT,Southampton,eng Premier League,24-131,5.7,0.0,50.0,0.0,0.04,74.9,0.18,0.7
Koffi Djidji,ci CIV,DF,Torino,it Serie A,29-328,8.9,0.0,33.3,0.0,0.03,86.9,0.0,0.22
Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-076,11.1,0.09,22.2,0.11,0.1,82.5,0.0,0.18
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,29-247,2.4,0.0,0.0,0.0,0.04,87.5,0.0,0.0
Marko Dmitrović,rs SRB,GB,Sevilla,es La Liga,30-273,1.5,0.0,0.0,0.0,0.0,64.1,0.0,0.0
Ritsu Doan,jp JPN,ATMT,Freiburg,de Bundesliga,24-130,8.6,0.23,40.0,0.1,0.27,70.5,0.12,1.51
Dodô,br BRA,DF,Fiorentina,it Serie A,23-341,6.6,0.0,50.0,0.0,0.02,84.2,0.0,0.45
Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24-116,2.9,0.0,0.0,0.0,0.0,80.4,0.34,0.34
Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,30-281,3.3,0.0,25.0,0.0,0.09,83.5,0.0,0.61
Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20-159,4.2,0.48,62.5,0.25,0.21,64.7,0.24,1.43
Jeremy Doku,be BEL,ATMT,Rennes,fr Ligue 1,20-150,1.7,0.0,60.0,0.0,0.18,75.8,0.0,3.53
Kasper Dolberg,dk DEN,AT,Sevilla,es La Liga,25-018,2.0,0.0,50.0,0.0,0.05,78.6,0.5,0.0
Carlos Dominguez,es ESP,MT,Celta Vigo,es La Liga,21-255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás Domínguez,ar ARG,MTAT,Bologna,it Serie A,24-118,7.8,0.13,28.6,0.07,0.08,84.1,0.0,1.41
John Donald,es ESP,DF,Elche,es La Liga,22-055,1.7,0.0,0.0,0.0,0.0,90.3,0.0,0.0
Giulio Donati,it ITA,DF,Monza,it Serie A,32-261,0.7,0.0,0.0,0.0,0.0,75.5,0.0,0.0
Kyliane Dong,fr FRA,ATDF,Troyes,fr Ligue 1,18-027,0.6,0.0,0.0,0.0,0.0,53.3,0.0,0.0
Gianluigi Donnarumma,it ITA,GB,Paris S-G,fr Ligue 1,23-241,12.0,0.0,0.0,0.0,0.0,87.6,0.0,0.0
Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,24-309,11.0,0.09,27.3,0.09,0.14,90.9,0.0,0.09
Jodel Dossou,bj BEN,ATDF,Clermont Foot,fr Ligue 1,30-221,2.5,0.4,50.0,0.17,0.24,75.9,0.0,1.2
Lohann Doucet,fr FRA,MT,Nantes,fr Ligue 1,20-040,0.7,0.0,100.0,0.0,0.0,86.4,0.0,1.43
Abdoulaye Doucouré,ml MLI,MT,Everton,eng Premier League,29-296,1.6,0.0,50.0,0.0,0.13,84.1,0.0,0.0
Cheick Doucouré,ml MLI,MT,Crystal Palace,eng Premier League,22-289,8.9,0.0,22.2,0.0,0.02,86.0,0.11,0.79
Ckene Doucouré,km COM,AT,Lorient,fr Ligue 1,20-199,0.3,0.0,0.0,0.0,1.0,58.3,3.33,6.67
Désiré Doué,fr FRA,MTAT,Rennes,fr Ligue 1,17-143,4.5,0.44,44.4,0.22,0.16,77.8,0.0,1.11
Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,19-092,4.5,0.0,0.0,0.0,0.0,84.1,0.0,0.22
Kamory Doumbia,ml MLI,MT,Reims,fr Ligue 1,19-248,5.4,0.19,28.6,0.0,0.07,76.6,0.19,0.74
Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,26-030,9.9,0.0,50.0,0.0,0.04,80.8,0.0,0.61
Flynn Downes,eng ENG,MT,West Ham,eng Premier League,23-277,0.8,0.0,0.0,0.0,0.13,75.0,0.0,0.0
Bartłomiej Drągowski,pl POL,GB,Spezia,it Serie A,25-066,11.0,0.0,0.0,0.0,0.0,72.4,0.0,0.0
Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,20-320,0.8,0.0,0.0,0.0,0.0,86.1,0.0,1.25
Dominick Drexler,de GER,MTAT,Schalke 04,de Bundesliga,32-151,6.6,0.15,14.3,0.14,0.06,60.8,0.45,0.91
Domingos Duarte,pt POR,DF,Getafe,es La Liga,27-228,10.0,0.0,50.0,0.0,0.05,77.3,0.2,0.2
Marvin Ducksch,de GER,ATMT,Werder Bremen,de Bundesliga,28-231,10.5,0.19,64.5,0.06,0.27,63.4,0.29,2.29
Ondrej Duda,sk SVK,MT,Köln,de Bundesliga,27-323,5.2,0.0,37.5,0.0,0.1,78.0,0.0,1.54
Shane Duffy,ie IRL,DFAT,Fulham,eng Premier League,30-296,0.1,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Rémy Dugimont,fr FRA,ATMT,Auxerre,fr Ligue 1,36-115,1.1,0.0,25.0,0.0,0.09,75.5,0.91,1.82
Denzel Dumfries,nl NED,DF,Inter,it Serie A,26-189,8.8,0.11,40.0,0.07,0.2,74.9,0.23,1.48
Alfred Duncan,gh GHA,MT,Fiorentina,it Serie A,29-228,1.6,0.0,0.0,0.0,0.06,75.3,0.0,0.63
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,30-337,11.0,0.0,0.0,0.0,0.05,88.4,0.0,0.09
Maxime Dupé,fr FRA,GB,Toulouse,fr Ligue 1,29-234,12.0,0.0,0.0,0.0,0.0,75.5,0.0,0.0
Milan Đurić,ba BIH,AT,Hellas Verona,it Serie A,32-155,1.4,0.0,0.0,0.0,0.21,48.1,0.0,0.0
Filip Đuričić,rs SRB,MT,Sampdoria,it Serie A,30-267,7.0,0.29,50.0,0.33,0.09,76.6,0.0,1.71
Hugo Duro,es ESP,AT,Valencia,es La Liga,22-348,3.2,0.31,20.0,0.1,0.41,78.5,0.0,0.63
Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,25-104,9.3,0.0,0.0,0.0,0.02,76.0,0.0,0.54
Paulo Dybala,ar ARG,MTAT,Roma,it Serie A,28-343,6.4,0.78,36.4,0.18,0.47,81.8,0.31,3.13
Edin Džeko,ba BIH,AT,Inter,it Serie A,36-221,6.7,0.45,34.6,0.12,0.49,76.4,0.15,1.49
Malcolm Ebiowei,eng ENG,AT,Crystal Palace,eng Premier League,19-050,0.2,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Festy Ebosele,ie IRL,DF,Udinese,it Serie A,20-083,0.1,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,23-227,4.5,0.0,0.0,0.0,0.0,82.5,0.0,0.22
Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,26-312,1.5,0.0,0.0,0.0,0.0,75.5,0.67,0.67
Éderson,br BRA,MTAT,Atalanta,it Serie A,23-109,4.5,0.0,20.0,0.0,0.13,76.3,0.0,1.33
Ederson,br BRA,GB,Manchester City,eng Premier League,29-068,11.0,0.0,0.0,0.0,0.0,87.7,0.09,0.09
Odsonne Édouard,fr FRA,AT,Crystal Palace,eng Premier League,24-281,7.6,0.26,50.0,0.14,0.21,76.2,0.26,0.92
Samuel Edozie,eng ENG,MTAT,Southampton,eng Premier League,19-269,0.9,0.0,100.0,0.0,0.0,72.0,0.0,2.22
Maximilian Eggestein,de GER,MT,Freiburg,de Bundesliga,25-320,8.1,0.0,25.0,0.0,0.02,78.2,0.12,0.49
Lilian Egloff,de GER,MTAT,Stuttgart,de Bundesliga,20-065,1.7,0.0,0.0,0.0,0.18,58.3,0.0,0.59
Íñigo Eguaras,es ESP,MT,Almería,es La Liga,30-231,5.0,0.0,0.0,0.0,0.0,83.8,0.2,1.2
Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,27-152,1.2,0.0,0.0,0.0,0.0,75.8,0.0,0.0
Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,27-152,0.7,0.0,100.0,0.0,0.0,68.0,0.0,0.0
Chidera Ejuke,ng NGA,AT,Hertha BSC,de Bundesliga,24-295,7.7,0.0,18.8,0.0,0.12,81.5,0.39,1.04
Albin Ekdal,se SWE,MT,Spezia,it Serie A,33-088,2.4,0.0,0.0,0.0,0.04,76.8,0.0,0.42
Hugo Ekitike,fr FRA,ATMT,Paris S-G,fr Ligue 1,20-126,1.5,0.0,50.0,0.0,0.2,90.5,0.0,0.0
Emmanuel Ekong,se SWE,AT,Empoli,it Serie A,20-121,0.2,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Anthony Elanga,se SWE,AT,Manchester Utd,eng Premier League,20-180,2.5,0.0,33.3,0.0,0.2,72.0,0.4,2.0
Mikael Ellertsson,is ISL,MT,Spezia,it Serie A,20-227,1.4,0.0,0.0,0.0,0.07,67.7,0.0,0.71
Harvey Elliott,eng ENG,MTAT,Liverpool,eng Premier League,19-203,7.3,0.14,31.3,0.06,0.1,82.3,0.0,1.64
Elif Elmas,mk MKD,MTAT,Napoli,it Serie A,23-030,3.3,0.3,33.3,0.17,0.33,86.8,0.0,1.82
Mohamed Elneny,eg EGY,MT,Arsenal,eng Premier League,30-105,1.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0
Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,28-210,6.5,0.0,0.0,0.0,0.03,84.5,0.0,0.46
Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,26-024,9.5,0.11,40.0,0.2,0.04,94.6,0.0,0.21
Rodrigo Ely,br BRA,DF,Almería,es La Liga,28-355,11.0,0.0,12.5,0.0,0.04,82.7,0.0,0.18
Sepe Elye Wahi,fr FRA,AT,Montpellier,fr Ligue 1,19-295,11.1,0.54,52.2,0.26,0.32,71.2,0.09,0.36
Mohamed Elyounoussi,no NOR,MTAT,Southampton,eng Premier League,28-081,8.1,0.0,26.7,0.0,0.11,64.6,0.12,0.62
Adri Embarba,es ESP,ATMT,Espanyol,es La Liga,30-170,0.4,0.0,0.0,0.0,0.0,62.5,0.0,0.0
Adri Embarba,es ESP,AT,Almería,es La Liga,30-170,3.4,0.29,40.0,0.1,0.18,64.8,0.59,1.47
Breel Embolo,ch SUI,AT,Monaco,fr Ligue 1,25-252,10.4,0.48,45.0,0.25,0.34,70.1,0.19,1.25
Emerson,br BRA,DF,Tottenham,eng Premier League,23-283,7.9,0.0,16.7,0.0,0.04,80.2,0.13,0.51
Youssef En-Nesyri,ma MAR,AT,Sevilla,es La Liga,25-145,3.3,0.0,55.6,0.0,0.24,58.8,0.0,0.3
Wataru Endo,jp JPN,MT,Stuttgart,de Bundesliga,29-257,10.6,0.19,33.3,0.13,0.1,77.3,0.0,0.94
Christian Eriksen,dk DEN,MT,Manchester Utd,eng Premier League,30-252,8.7,0.0,41.2,0.0,0.15,76.4,0.23,1.38
Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,24-273,6.6,0.0,0.0,0.0,0.0,88.2,0.0,0.0
Gonzalo Escalante,ar ARG,MT,Cremonese,it Serie A,29-211,4.9,0.0,20.0,0.0,0.04,78.2,0.2,0.61
Sergio Escudero,es ESP,DF,Valladolid,es La Liga,33-052,7.4,0.0,33.3,0.0,0.05,75.7,0.0,0.81
Alfonso Espino,uy URU,DF,Cádiz,es La Liga,30-292,9.7,0.0,0.0,0.0,0.01,64.0,0.1,0.41
Bernardo Espinosa,co COL,DF,Girona,es La Liga,33-105,5.5,0.0,66.7,0.0,0.04,87.4,0.18,0.18
Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,20-151,7.0,0.0,0.0,0.0,0.03,84.8,0.0,0.14
Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,24-276,4.2,0.0,0.0,0.0,0.0,78.6,0.0,1.9
Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,34-294,9.0,0.0,100.0,0.0,0.02,89.7,0.0,0.0
Edu Expósito,es ESP,MT,Espanyol,es La Liga,26-084,7.6,0.26,44.4,0.22,0.04,77.2,0.26,1.32
Eberechi Eze,eng ENG,MTAT,Crystal Palace,eng Premier League,24-117,10.1,0.2,26.3,0.11,0.14,78.9,0.2,1.88
Nicolás Ezequiel Fernández,ar ARG,DFMT,Elche,es La Liga,22-286,2.9,0.0,100.0,0.0,0.0,78.4,0.0,1.03
Abdessamad Ezzalzouli,ma MAR,MTAT,Osasuna,es La Liga,20-311,3.5,0.0,30.0,0.0,0.17,67.2,0.57,0.86
Łukasz Fabiański,pl POL,GB,West Ham,eng Premier League,37-189,10.3,0.0,0.0,0.0,0.0,66.8,0.0,0.0
Fabinho,br BRA,MT,Liverpool,eng Premier League,29-001,8.4,0.0,50.0,0.0,0.02,89.2,0.0,0.36
Fábio,br BRA,DF,Nantes,fr Ligue 1,32-107,2.5,0.0,66.7,0.0,0.08,76.9,0.0,1.6
Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,22-325,4.5,0.22,25.0,0.25,0.04,82.4,0.0,0.22
Wout Faes,be BEL,DF,Reims,fr Ligue 1,24-204,3.0,0.0,0.0,0.0,0.0,81.6,0.0,0.33
Wout Faes,be BEL,DF,Leicester City,eng Premier League,24-204,6.0,0.0,0.0,0.0,0.03,87.3,0.0,0.17
Nicolò Fagioli,it ITA,MTDF,Juventus,it Serie A,21-254,0.5,0.0,100.0,0.0,0.0,71.4,0.0,4.0
Romain Faivre,fr FRA,MTAT,Lyon,fr Ligue 1,24-102,2.5,0.0,33.3,0.0,0.04,86.1,0.4,1.6
Radamel Falcao,co COL,AT,Rayo Vallecano,es La Liga,36-256,3.8,0.53,30.8,0.08,0.39,80.7,0.0,0.53
Wladimiro Falcone,it ITA,GB,Lecce,it Serie A,27-195,11.0,0.0,0.0,0.0,0.0,60.5,0.0,0.0
Fali,es ESP,DFMT,Cádiz,es La Liga,29-073,3.7,0.0,0.0,0.0,0.05,73.8,0.0,0.27
Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,30-364,3.1,0.0,50.0,0.0,0.13,68.6,0.32,0.32
Ansu Fati,es ESP,AT,Barcelona,es La Liga,19-358,4.1,0.73,30.4,0.13,1.0,85.8,0.73,1.22
Khalil Fayad,fr FRA,MT,Montpellier,fr Ligue 1,18-137,2.9,0.0,0.0,0.0,0.07,85.5,0.34,1.03
Federico Fazio,ar ARG,DF,Salernitana,it Serie A,35-221,7.0,0.0,11.1,0.0,0.07,81.5,0.0,0.14
Jacopo Fazzini,it ITA,MT,Empoli,it Serie A,19-222,0.4,0.0,0.0,0.0,0.0,75.0,0.0,0.0
Zouhair Feddal,ma MAR,DF,Valladolid,es La Liga,33-296,2.4,0.0,0.0,0.0,0.08,87.4,0.0,0.42
Nabil Fekir,fr FRA,MTAT,Betis,es La Liga,29-098,3.5,0.29,22.2,0.11,0.09,79.9,0.29,1.14
Felipe,br BRA,DF,Atlético Madrid,es La Liga,33-161,1.0,0.0,0.0,0.0,0.0,96.4,0.0,0.0
Luiz Felipe,it ITA,DF,Betis,es La Liga,25-216,4.6,0.0,0.0,0.0,0.02,87.6,0.0,0.22
João Félix,pt POR,AT,Atlético Madrid,es La Liga,22-348,5.1,0.0,30.8,0.0,0.22,73.3,0.59,1.37
Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25-045,3.0,0.0,0.0,0.0,0.0,76.9,0.33,0.67
Kiko Femenía,es ESP,DF,Villarreal,es La Liga,31-264,6.6,0.0,0.0,0.0,0.0,81.6,0.0,0.76
Lewis Ferguson,sct SCO,MT,Bologna,it Serie A,23-061,2.4,0.42,60.0,0.2,0.04,85.7,0.0,0.0
Bruno Fernandes,pt POR,MTAT,Manchester Utd,eng Premier League,28-046,11.0,0.18,39.1,0.09,0.16,75.8,0.09,2.73
Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,26-192,5.4,0.0,33.3,0.0,0.0,74.3,0.19,0.56
Aitor Fernández,es ESP,GB,Osasuna,es La Liga,31-174,1.0,0.0,0.0,0.0,0.0,81.6,0.0,0.0
Álex Fernández,es ESP,MTAT,Cádiz,es La Liga,30-009,4.8,0.21,66.7,0.17,0.19,83.5,0.0,0.42
Álvaro Fernández,es ESP,GB,Espanyol,es La Liga,24-194,4.0,0.0,0.0,0.0,0.0,65.9,0.0,0.25
Carlos Fernández,es ESP,AT,Real Sociedad,es La Liga,26-155,1.2,0.0,50.0,0.0,0.17,69.2,0.0,0.0
Federico Fernández,ar ARG,DF,Elche,es La Liga,33-245,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
Joaquín Fernández,es ESP,DF,Valladolid,es La Liga,26-146,9.6,0.1,20.0,0.2,0.05,84.3,0.0,0.1
Fernando,es ESP,GB,Almería,es La Liga,32-136,10.0,0.0,0.0,0.0,0.0,75.2,0.0,0.0
Fernando,br BRA,MTDF,Sevilla,es La Liga,35-091,5.5,0.0,0.0,0.0,0.0,89.5,0.0,0.36
